,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
146,Tú,"Los Elegantes de Jerez",733610,https://open.spotify.com/track/5GkeaIeCEfB0LOqk7sIVHQ
147,"Lamento Boliviano","Los Enanitos Verdes",728635,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
148,"La Mitad",Camilo,726115,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
149,"Watermelon Sugar","Harry Styles",725146,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
150,"Sexo Virtual","Rauw Alejandro",722659,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
151,"Cada Vez Te Extraño Más","Grupo Firme",722551,https://open.spotify.com/track/70w1mwTod6NgCNV6e7ZlIQ
152,"Se Me Olvidó","Christian Nodal",719015,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
153,"No Te Contaron Mal","Christian Nodal",716808,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
154,"Desde Morro","Justin Morales",715929,https://open.spotify.com/track/5u6lAvdS8mmHHTHQlC3TtN
155,"Belleza De Cantina","Cardenales De Nuevo León",714216,https://open.spotify.com/track/4ZplewvZRLFcfBa5uyBbhd
156,"Chica Ideal","Sebastian Yatra",707525,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
157,"Dueles Tan Bien",Bruses,705528,https://open.spotify.com/track/75ncCwXqalTnnl6t1ruQRq
158,Tusa,"KAROL G",705478,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
159,"Vida de Rico",Camilo,700859,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
160,"Relación - Remix",Sech,697959,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
161,"Ojitos de Miel","T3R Elemento",695400,https://open.spotify.com/track/3V1jBnDI3zCn25ONFiqwN8
162,"De Museo","Bad Bunny",695364,https://open.spotify.com/track/267NGliXM8YLVZiKAD9Otm
163,Safaera,"Bad Bunny",694937,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
164,"¿Quién Te Crees?","MC Davo",694452,https://open.spotify.com/track/2LXOSAYiSrTfIf8smheLaz
165,"CÓMO SE SIENTE - Remix","Jhay Cortez",693189,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
166,"Amor A Primera Vista","Los Ángeles Azules",692466,https://open.spotify.com/track/5Myb8S90Wg0yLec5kmrIGJ
167,Leve,"Cartel De Santa",687780,https://open.spotify.com/track/00jpfco62YfQj1BBYCCuKH
168,Casualidad,"Sofía Reyes",685620,https://open.spotify.com/track/5FcT2TuosRkokjn3xyncER
169,Dueles,"Jesse & Joy",683454,https://open.spotify.com/track/1iRvhKiXRElIH2Uf4gd95P
170,"Así Soy","Santa Fe Klan",682377,https://open.spotify.com/track/5Wvw29RKTFSK0IuCd2qs4m
171,"El Amor No Fue Pa´ Mí - En Vivo","Grupo Firme",681276,https://open.spotify.com/track/3dkEwOKhFselY2m22Nj2vi
172,Azul,"J Balvin",678294,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
173,Amapolas,"Leo Rizzi",675088,https://open.spotify.com/track/0z5yLgBmAtaylDYrgwzlpH
174,"Si Te Vienen a Contar","Cartel De Santa",674298,https://open.spotify.com/track/1qNUhmx3rGjiMRThz7Eruv
175,Locos,"León Larregui",673705,https://open.spotify.com/track/3GSMdtJphymHEsR8K9jT5Q
176,"En Esta Vida No Se Pudo","El Mimoso Luis Antonio López",672803,https://open.spotify.com/track/4VepTqzlmZvNAAjUhdBhOP
177,"El Amor De Tu Vida","Carin Leon",671808,https://open.spotify.com/track/5HpXH64cSBNu26yhw3vK37
178,"Adiós Amor","Christian Nodal",671535,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
